gameweek,player_name,team_name,position_name,points,kickoff_time,home_or_away,opposition_name,team_odds
1,Folarin Balogun,Arsenal,FWD,0,12,Home,Nott'm Forest,1.18
1,Cédric Alves Soares,Arsenal,DEF,0,12,Home,Nott'm Forest,1.18
1,Mohamed Elneny,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Fábio Ferreira Vieira,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Gabriel dos Santos Magalhães,Arsenal,DEF,1,12,Home,Nott'm Forest,1.18
1,Kai Havertz,Arsenal,MID,2,12,Home,Nott'm Forest,1.18
1,Rob Holding,Crystal Palace,DEF,0,12,NULL,NULL,
1,Gabriel Fernando de Jesus,Arsenal,FWD,0,12,Home,Nott'm Forest,1.18
1,Jorge Luiz Frello Filho,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Jakub Kiwior,Arsenal,DEF,0,12,Home,Nott'm Forest,1.18
1,Marcus Oliveira Alencar,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Gabriel Martinelli Silva,Arsenal,MID,5,12,Home,Nott'm Forest,1.18
1,Eddie Nketiah,Arsenal,FWD,8,12,Home,Nott'm Forest,1.18
1,Martin Ødegaard,Arsenal,MID,2,12,Home,Nott'm Forest,1.18
1,Thomas Partey,Arsenal,MID,2,12,Home,Nott'm Forest,1.18
1,Nicolas Pépé,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Aaron Ramsdale,Arsenal,GKP,2,12,Home,Nott'm Forest,1.18
1,Rúnar Alex Rúnarsson,Arsenal,GKP,0,12,Home,Nott'm Forest,1.18
1,Bukayo Saka,Arsenal,MID,10,12,Home,Nott'm Forest,1.18
1,William Saliba,Arsenal,DEF,5,12,Home,Nott'm Forest,1.18
1,Albert Sambi Lokonga,Luton,MID,0,12,NULL,NULL,
1,Emile Smith Rowe,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
1,Nuno Varela Tavares,Nott'm Forest,DEF,0,12,Away,Arsenal,15.0
1,Kieran Tierney,Arsenal,DEF,0,12,Home,Nott'm Forest,1.18
1,Takehiro Tomiyasu,Arsenal,DEF,1,12,Home,Nott'm Forest,1.18
1,Leandro Trossard,Arsenal,MID,1,12,Home,Nott'm Forest,1.18
1,Auston Trusty,Sheffield Utd,DEF,0,14,Home,Crystal Palace,3.0
1,Matt Turner,Nott'm Forest,GKP,2,12,Away,Arsenal,15.0
1,Benjamin White,Arsenal,DEF,1,12,Home,Nott'm Forest,1.18
1,Granit Xhaka,Arsenal,MID,0,12,Home,Nott'm Forest,1.18
