gameweek,player_id,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,recent_points,recent_minutes,win_odds,>2.5,fpl_points,over_four_fpl_points
5,1,1,1220,1260,1270,1280,1170,1240,4,15,2,9,0,0,1.5,1.67,0,0
5,2,1,1220,1260,1270,1280,1170,1240,2,15,2,9,0,0,1.5,1.67,0,0
5,3,1,1220,1260,1270,1280,1170,1240,3,15,2,9,0,0,1.5,1.67,0,0
5,4,1,1220,1260,1270,1280,1170,1240,3,15,2,9,7,34,1.5,1.67,3,0
5,5,1,1220,1260,1270,1280,1170,1240,2,15,2,9,2,24,1.5,1.67,5,1
5,6,1,1220,1260,1270,1280,1170,1240,3,15,2,9,5,235,1.5,1.67,1,0
5,7,8,1095,1100,1110,1150,1090,1085,2,14,2,2,0,0,4.0,1.89,0,0
5,8,1,1220,1260,1270,1280,1170,1240,4,15,2,9,1,1,1.5,1.67,1,0
5,9,1,1220,1260,1270,1280,1170,1240,3,15,2,9,2,17,1.5,1.67,0,0
5,10,1,1220,1260,1270,1280,1170,1240,2,15,2,9,2,91,1.5,1.67,0,0
5,11,1,1220,1260,1270,1280,1170,1240,3,15,2,9,0,0,1.5,1.67,0,0
5,12,1,1220,1260,1270,1280,1170,1240,3,15,2,9,10,244,1.5,1.67,1,0
5,13,1,1220,1260,1270,1280,1170,1240,4,15,2,9,18,195,1.5,1.67,2,0
5,14,1,1220,1260,1270,1280,1170,1240,3,15,2,9,15,262,1.5,1.67,3,0
5,15,1,1220,1260,1270,1280,1170,1240,3,15,2,9,6,235,1.5,1.67,0,0
5,16,1,1220,1260,1270,1280,1170,1240,3,15,2,9,0,0,1.5,1.67,0,0
5,17,1,1220,1260,1270,1280,1170,1240,1,15,2,9,9,270,1.5,1.67,0,0
5,18,1,1220,1260,1270,1280,1170,1240,1,15,2,9,0,0,1.5,1.67,0,0
5,19,1,1220,1260,1270,1280,1170,1240,3,15,2,9,21,268,1.5,1.67,6,1
5,20,1,1220,1260,1270,1280,1170,1240,2,15,2,9,14,270,1.5,1.67,6,1
5,21,12,1065,1080,1050,1080,1080,1090,3,14,2,10,0,0,5.5,1.89,2,0
5,22,1,1220,1260,1270,1280,1170,1240,3,15,2,9,0,0,1.5,1.67,0,0
5,23,16,1065,1100,1050,1120,1080,1100,2,18,1,6,0,0,2.2,1.92,1,0
5,24,1,1220,1260,1270,1280,1170,1240,2,15,2,9,0,0,1.5,1.67,0,0
5,25,1,1220,1260,1270,1280,1170,1240,2,15,2,9,4,106,1.5,1.67,1,0
5,26,1,1220,1260,1270,1280,1170,1240,3,15,2,9,2,62,1.5,1.67,11,1
5,27,17,1045,1060,1050,1050,1040,1070,2,14,2,18,0,0,11.0,1.5,0,0
5,28,16,1065,1100,1050,1120,1080,1100,1,18,1,6,7,270,2.2,1.92,2,0
5,29,1,1220,1260,1270,1280,1170,1240,2,15,2,9,9,270,1.5,1.67,7,1
5,30,1,1220,1260,1270,1280,1170,1240,3,15,2,9,0,0,1.5,1.67,0,0
5,31,1,1220,1260,1270,1280,1170,1240,2,15,2,9,2,35,1.5,1.67,7,1
5,32,2,1130,1235,1120,1220,1130,1250,2,14,1,8,0,0,1.91,1.89,0,0
5,33,17,1045,1060,1050,1050,1040,1070,4,14,2,18,0,5,11.0,1.5,1,0
5,34,2,1130,1235,1120,1220,1130,1250,3,14,1,8,15,107,1.91,1.89,5,1
5,35,2,1130,1235,1120,1220,1130,1250,3,14,1,8,0,0,1.91,1.89,0,0
