player_name,opposition_name,fpl_points,predicted_high_scorer
Bukayo Saka,Newcastle,10,0.5692284
Kai Havertz,Newcastle,14,0.5416285
Gabriel Martinelli Silva,Newcastle,6,0.5392896
Christian Nørgaard,West Ham,2,0.5237467
Dominic Calvert-Lewin,Brighton,2,0.50584894
Martin Ødegaard,Newcastle,2,0.50168145
David Datro Fofana,Crystal Palace,2,0.4483957
Jack Harrison,Brighton,2,0.44381383
Neal Maupay,West Ham,6,0.44381383
Erling Haaland,Bournemouth,5,0.40307716
John McGinn,Nott'm Forest,6,0.38803428
James Ward-Prowse,Brentford,2,0.38164988
Declan Rice,Newcastle,6,0.37281495
Ivan Toney,West Ham,2,0.3699459
Ben Godfrey,Brighton,2,0.36527222
Phil Foden,Bournemouth,11,0.35177085
Pablo Sarabia,Sheffield Utd,10,0.33903885
Gabriel dos Santos Magalhães,Newcastle,2,0.33312252
Pascal Groß,Everton,7,0.2874524
Fabian Schär,Arsenal,0,0.2857776
Ollie Watkins,Nott'm Forest,9,0.28307515
Max Kilman,Sheffield Utd,6,0.2701461
Mohammed Kudus,Brentford,5,0.2674027
Hwang Hee-chan,Sheffield Utd,3,0.22992744
Leon Bailey,Nott'm Forest,12,0.22560246
Danny Welbeck,Everton,2,0.2200958
Sam Johnstone,Burnley,6,0.21773688
Jarrad Branthwaite,Brighton,9,0.21685432
Matheus Luiz Nunes,Bournemouth,3,0.20526
Jarrod Bowen,Brentford,20,0.2016943
Clément Lenglet,Nott'm Forest,1,0.2005547
Facundo Buonanotte,Everton,3,0.19659556
Rodrigo Muniz Carvalho,Man Utd,2,0.18672864
Sean Longstaff,Arsenal,2,0.18163364
Pedro Lomba Neto,Sheffield Utd,3,0.16702901
Alejandro Garnacho,Fulham,2,0.16597927
Dominic Solanke,Man City,2,0.16223614
Jakub Kiwior,Newcastle,8,0.15555002
Marcus Rashford,Fulham,2,0.15399727
Tomáš Souček,Brentford,2,0.14289188
Douglas Luiz Soares de Paulo,Nott'm Forest,15,0.14243296
Bruno Guimarães Rodriguez Moura,Arsenal,2,0.13963322
Bruno Borges Fernandes,Fulham,4,0.13585827
Justin Kluivert,Man City,2,0.13216881
Lewis Dunk,Everton,10,0.12438826
James Trafford,Crystal Palace,2,0.11922974
Mark Flekken,West Ham,0,0.11922974
Mario Lemina,Sheffield Utd,3,0.114288755
Wilson Odobert,Crystal Palace,2,0.11397174
Loris Karius,Arsenal,1,0.11232787
Kieran Trippier,Arsenal,0,0.111820415
Jean-Philippe Mateta,Burnley,6,0.11179447
Anthony Gordon,Arsenal,2,0.11107826
Rodrigo Hernandez,Bournemouth,3,0.10912839
Simon Adingra,Everton,2,0.10863419
Joel Ward,Burnley,6,0.10863419
Lucas Tolentino Coelho de Lima,Brentford,2,0.10707701
James Garner,Brighton,2,0.09819319
Lorenz Assignon,Crystal Palace,1,0.093656205
Mathias Jorgensen,West Ham,-1,0.08737116
Charlie Taylor,Crystal Palace,1,0.08737116
Abdoulaye Doucouré,Brighton,3,0.08737116
Frank Onyeka,West Ham,2,0.08737116
Tariq Lamptey,Everton,6,0.08376011
Timothy Castagne,Man Utd,7,0.08311662
Anthony Elanga,Aston Villa,2,0.08206463
Harry Maguire,Fulham,6,0.07507135
Youri Tielemans,Nott'm Forest,2,0.07430217
Sander Berge,Crystal Palace,2,0.07370846
Rúben Gato Alves Dias,Bournemouth,6,0.07116223
James McAtee,Wolves,2,0.07071675
Dara O'Shea,Crystal Palace,1,0.06567795
John Stones,Bournemouth,6,0.063751355
Morgan Gibbs-White,Aston Villa,7,0.061327837
Ederson Santana de Moraes,Bournemouth,9,0.061231438
Jefferson Lerma Solís,Burnley,3,0.059306584
Billy Gilmour,Everton,-1,0.059306584
José Malheiro de Sá,Sheffield Utd,7,0.0590221
Emiliano Martínez Romero,Nott'm Forest,1,0.0590221
André Onana,Fulham,2,0.0590221
Vladimír Coufal,Brentford,5,0.059012726
James Tarkowski,Brighton,1,0.057339374
Jorge Luiz Frello Filho,Newcastle,2,0.056002572
Ben Mee,West Ham,1,0.05458692
Dwight McNeil,Brighton,2,0.05458692
Edson Álvarez Velázquez,Brentford,1,0.053540554
William Saliba,Newcastle,2,0.051697295
Mathias Jensen,West Ham,2,0.051537383
Kobbie Mainoo,Fulham,2,0.050608262
Bernardo Veiga de Carvalho e Silva,Bournemouth,2,0.0505827
Craig Dawson,Sheffield Utd,7,0.049687177
Joachim Andersen,Burnley,6,0.049426213
David Raya Martin,Newcastle,2,0.049410798
Rayan Aït-Nouri,Sheffield Utd,12,0.048283864
Antoine Semenyo,Man City,2,0.048072644
Jordan Ayew,Burnley,13,0.045986556
Jordan Pickford,Brighton,4,0.04484251
Vitalii Mykolenko,Brighton,2,0.044262983
Mateo Kovačić,Bournemouth,3,0.04192942
Adam Smith,Man City,2,0.039763834
Sergio Reguilón,West Ham,-1,0.039754074
Diogo Dalot Teixeira,Fulham,1,0.039160516
Ryan Christie,Man City,2,0.03914466
João Victor Gomes da Silva,Sheffield Utd,3,0.038127124
Alphonse Areola,Brentford,2,0.038088873
Jacob Ramsey,Nott'm Forest,5,0.03564944
Manuel Akanji,Bournemouth,8,0.035288453
Jan Paul van Hecke,Everton,1,0.035085447
Tyrick Mitchell,Burnley,5,0.034695536
Keane Lewis-Potter,West Ham,5,0.033718575
Matty Cash,Nott'm Forest,1,0.0333876
Nathan Aké,Bournemouth,6,0.032298636
Emerson Palmieri dos Santos,Brentford,12,0.030786864
Benjamin White,Newcastle,2,0.030275298
Toti António Gomes,Sheffield Utd,5,0.02982693
Sven Botman,Arsenal,-2,0.029109975
Lewis Cook,Man City,1,0.028985789
Calvin Bassey,Man Utd,10,0.02811456
Saša Lukić,Man Utd,2,0.02811456
Alex Iwobi,Man Utd,10,0.02811456
Kurt Zouma,Brentford,1,0.027294865
Auston Trusty,Wolves,2,0.027263695
Illia Zabarnyi,Man City,2,0.02680983
Odsonne Edouard,Burnley,2,0.026344307
Evan Ferguson,Everton,2,0.024689592
Tosin Adarabioyo,Man Utd,1,0.023989385
Chris Richards,Burnley,14,0.023352494
Andreas Hoelgebaum Pereira,Man Utd,2,0.022568261
Raphaël Varane,Fulham,1,0.021936307
Lewis Miley,Arsenal,2,0.021808987
Bernd Leno,Man Utd,3,0.021649979
Anel Ahmedhodžić,Wolves,1,0.021406759
Norberto Murara Neto,Man City,3,0.021263894
Nélson Cabral Semedo,Sheffield Utd,5,0.020876553
Marcus Tavernier,Man City,2,0.01970598
Marcos Senesi,Man City,1,0.019532217
Vini de Souza Costa,Wolves,2,0.018799307
Antonee Robinson,Man Utd,2,0.018799307
Konstantinos Mavropanos,Brentford,1,0.018212294
Miguel Almirón Rejala,Arsenal,2,0.017861223
Kristoffer Ajer,West Ham,0,0.017564561
Danilo dos Santos de Oliveira,Aston Villa,2,0.017276578
Victor Lindelöf,Fulham,1,0.016993647
Adam Wharton,Burnley,2,0.016550599
Gustavo Hamer,Wolves,2,0.014230577
Yasser Larouci,Wolves,2,0.013320026
Callum Hudson-Odoi,Aston Villa,2,0.011953296
Bart Verbruggen,Everton,2,0.011631963
Tino Livramento,Arsenal,0,0.011480263
Rhian Brewster,Wolves,2,0.0111369165
Nicolás Domínguez,Aston Villa,2,0.010330483
Maxime Esteve,Crystal Palace,0,0.009869585
Milos Kerkez,Man City,2,0.009255793
Harry Wilson,Man Utd,2,0.0092240665
Neco Williams,Aston Villa,0,0.009023797
Ivo Grbic,Wolves,2,0.008500292
Matz Sels,Aston Villa,0,0.007822503
Jack Robinson,Wolves,2,0.0072782445
Jóhann Berg Gudmundsson,Crystal Palace,2,0.00700685
Jayden Bogle,Wolves,2,0.0069758645
Daniel Muñoz,Burnley,7,0.0069390517
Alexander Isak,Arsenal,2,0.0062197275
Harrison Reed,Man Utd,3,0.004563141
Moussa Niakhaté,Aston Villa,6,0.002962402
Oliver Norwood,Wolves,2,0.0025612619
