player_name,opposition_name,fpl_points,predicted_high_scorer
Bukayo Saka,Newcastle,10,0.7824969
Martin Ødegaard,Newcastle,2,0.7002303
Hwang Hee-chan,Sheffield Utd,3,0.666107
Kai Havertz,Newcastle,14,0.65299666
Alejandro Garnacho,Fulham,2,0.6351101
Gabriel Martinelli Silva,Newcastle,6,0.6276559
Erling Haaland,Bournemouth,5,0.6182016
Pedro Lomba Neto,Sheffield Utd,3,0.6099828
Ollie Watkins,Nott'm Forest,9,0.5730838
John McGinn,Nott'm Forest,6,0.5668123
Douglas Luiz Soares de Paulo,Nott'm Forest,15,0.564599
Simon Adingra,Everton,2,0.5554457
Max Kilman,Sheffield Utd,6,0.5475452
Lucas Tolentino Coelho de Lima,Brentford,2,0.5347281
Leon Bailey,Nott'm Forest,12,0.53373635
Pablo Sarabia,Sheffield Utd,10,0.5322524
Declan Rice,Newcastle,6,0.5292952
Marcus Rashford,Fulham,2,0.52776563
Danny Welbeck,Everton,2,0.5060713
Phil Foden,Bournemouth,11,0.49631616
Pascal Groß,Everton,7,0.49021053
Mateo Kovačić,Bournemouth,3,0.48981345
Jarrod Bowen,Brentford,20,0.47976053
Bruno Borges Fernandes,Fulham,4,0.45218897
Frank Onyeka,West Ham,2,0.4310214
Victor Lindelöf,Fulham,1,0.41934738
James Ward-Prowse,Brentford,2,0.41250616
Jóhann Berg Gudmundsson,Crystal Palace,2,0.39486402
Neal Maupay,West Ham,6,0.38555315
Abdoulaye Doucouré,Brighton,3,0.37161955
Jack Harrison,Brighton,2,0.36642328
Jorge Luiz Frello Filho,Newcastle,2,0.35520542
Jean-Philippe Mateta,Burnley,6,0.35460922
Gabriel dos Santos Magalhães,Newcastle,2,0.34872448
Matheus Luiz Nunes,Bournemouth,3,0.33796751
Matty Cash,Nott'm Forest,1,0.32846797
Rodrigo Hernandez,Bournemouth,3,0.32323325
Jacob Ramsey,Nott'm Forest,5,0.31723928
Rayan Aït-Nouri,Sheffield Utd,12,0.3157143
Christian Nørgaard,West Ham,2,0.3115882
Vladimír Coufal,Brentford,5,0.30190736
Joel Ward,Burnley,6,0.29479232
Mohammed Kudus,Brentford,5,0.28489554
Facundo Buonanotte,Everton,3,0.27309865
James Tarkowski,Brighton,1,0.2695781
Ivan Toney,West Ham,2,0.25561073
Dominic Solanke,Man City,2,0.24812053
Lewis Dunk,Everton,10,0.24187316
John Stones,Bournemouth,6,0.23728164
Nathan Aké,Bournemouth,6,0.23580557
Jordan Ayew,Burnley,13,0.22708067
Youri Tielemans,Nott'm Forest,2,0.21677262
Jakub Kiwior,Newcastle,8,0.21572079
Wilson Odobert,Crystal Palace,2,0.21409525
James Garner,Brighton,2,0.21136092
Dominic Calvert-Lewin,Brighton,2,0.20779064
Dwight McNeil,Brighton,2,0.1942855
Justin Kluivert,Man City,2,0.18470396
Joachim Andersen,Burnley,6,0.18433228
Sean Longstaff,Arsenal,2,0.18429065
Keane Lewis-Potter,West Ham,5,0.1803714
Rúben Gato Alves Dias,Bournemouth,6,0.1801667
Marcus Tavernier,Man City,2,0.17777456
Diogo Dalot Teixeira,Fulham,1,0.17775181
Benjamin White,Newcastle,2,0.17141344
Fabian Schär,Arsenal,0,0.16097328
William Saliba,Newcastle,2,0.15745486
Mario Lemina,Sheffield Utd,3,0.15680784
João Victor Gomes da Silva,Sheffield Utd,3,0.15627304
Clément Lenglet,Nott'm Forest,1,0.15591912
David Datro Fofana,Crystal Palace,2,0.15377595
Tariq Lamptey,Everton,6,0.15109581
Jefferson Lerma Solís,Burnley,3,0.14713456
Oliver Norwood,Wolves,2,0.14516468
Emerson Palmieri dos Santos,Brentford,12,0.14213134
Anthony Gordon,Arsenal,2,0.14202802
Ryan Christie,Man City,2,0.1395309
Sergio Reguilón,West Ham,-1,0.13157158
Bernardo Veiga de Carvalho e Silva,Bournemouth,2,0.12844723
Alex Iwobi,Man Utd,10,0.12723662
James McAtee,Wolves,2,0.12718658
Tomáš Souček,Brentford,2,0.12622577
Bruno Guimarães Rodriguez Moura,Arsenal,2,0.12587215
Harry Maguire,Fulham,6,0.12436951
Jarrad Branthwaite,Brighton,9,0.12388814
Miguel Almirón Rejala,Arsenal,2,0.11888283
Edson Álvarez Velázquez,Brentford,1,0.11799305
Ben Godfrey,Brighton,2,0.1169811
Rodrigo Muniz Carvalho,Man Utd,2,0.11351761
Anthony Elanga,Aston Villa,2,0.11250693
Charlie Taylor,Crystal Palace,1,0.11209554
Morgan Gibbs-White,Aston Villa,7,0.11065072
Marcos Senesi,Man City,1,0.10612461
Mathias Jorgensen,West Ham,-1,0.10251307
Andreas Hoelgebaum Pereira,Man Utd,2,0.100478314
Antoine Semenyo,Man City,2,0.10011075
Saša Lukić,Man Utd,2,0.09837471
Mathias Jensen,West Ham,2,0.09804627
Craig Dawson,Sheffield Utd,7,0.09722313
Timothy Castagne,Man Utd,7,0.093728706
Tino Livramento,Arsenal,0,0.08980803
Nélson Cabral Semedo,Sheffield Utd,5,0.086092874
David Raya Martin,Newcastle,2,0.08046163
Billy Gilmour,Everton,-1,0.07839196
Vitalii Mykolenko,Brighton,2,0.078369826
Evan Ferguson,Everton,2,0.07712335
Ben Mee,West Ham,1,0.07488604
Nicolás Domínguez,Aston Villa,2,0.07315226
Odsonne Edouard,Burnley,2,0.07047688
Lewis Cook,Man City,1,0.068483025
Gustavo Hamer,Wolves,2,0.06648778
José Malheiro de Sá,Sheffield Utd,7,0.062346954
Harry Wilson,Man Utd,2,0.05781767
Kieran Trippier,Arsenal,0,0.057090174
Kurt Zouma,Brentford,1,0.056131437
Antonee Robinson,Man Utd,2,0.055631466
Sander Berge,Crystal Palace,2,0.05339116
Jan Paul van Hecke,Everton,1,0.05255329
Kobbie Mainoo,Fulham,2,0.05238656
Auston Trusty,Wolves,2,0.051688537
Calvin Bassey,Man Utd,10,0.049792204
Lewis Miley,Arsenal,2,0.048328172
Alphonse Areola,Brentford,2,0.044829544
Toti António Gomes,Sheffield Utd,5,0.044728417
Bart Verbruggen,Everton,2,0.041495204
Manuel Akanji,Bournemouth,8,0.04102172
