gameweek,player_id,player_name,team_id,overall_team_strength,team_position_relevant_strength,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,1,Folarin Balogun,1,1350,1370,4,17,1,4,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2,1.4,-1,-1,-1
28,2,Cédric Alves Soares,1,1350,1330,2,17,1,4,NULL,1,9,1.0,2.3,0.0,2.39,3,15,2.0,4.3,0.0,2.11,1.2,1.4,-1,-1,-1
28,3,Mohamed Elneny,1,1350,1370,3,17,1,4,NULL,1,3,0.2,0.3,0.0,0.0,6,16,4.0,2.1,10.0,0.09,1.2,1.4,-1,-1,-1
28,4,Fábio Ferreira Vieira,1,1350,1370,3,17,1,4,NULL,1,3,2.8,14.1,2.0,0.23,22,65,82.2,77.7,79.0,1.78,1.2,1.4,-1,-1,-1
28,5,Gabriel dos Santos Magalhães,1,1350,1330,2,17,1,4,NULL,9,54,53.6,17.400000000000002,52.0,1.1400000000000001,102,463,523.0,103.30000000000001,289.0,-14.240000000000002,1.2,1.4,-1,-1,-1
28,6,Kai Havertz,1,1350,1370,3,17,1,4,NULL,35,98,144.6,68.89999999999999,131.0,2.1,103,288,407.8,373.9000000000001,478.0,9.1,1.2,1.4,-1,-1,-1
28,7,Rob Holding,8,1070,1060,2,15,1,12,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.75,1.67,-1,-1,-1
28,8,Gabriel Fernando de Jesus,1,1350,1370,4,17,1,4,NULL,2,1,6.8,3.7,25.0,0.18000000000000002,64,212,300.0,317.5,626.0,7.48,1.2,1.4,-1,-1,-1
28,9,Jorge Luiz Frello Filho,1,1350,1370,3,17,1,4,NULL,7,37,28.6,59.9,0.0,0.55,28,125,114.4,138.9,10.0,1.0,1.2,1.4,-1,-1,-1
28,10,Jakub Kiwior,1,1350,1330,2,17,1,4,NULL,20,71,79.2,42.2,47.0,1.1400000000000001,51,200,202.2,75.80000000000001,82.0,-0.7900000000000005,1.2,1.4,-1,-1,-1
28,11,Marcus Oliveira Alencar,1,1350,1370,3,17,1,4,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2,1.4,-1,-1,-1
28,12,Gabriel Martinelli Silva,1,1350,1370,3,17,1,4,NULL,17,51,65.2,55.400000000000006,71.0,1.86,107,356,433.8,602.9,657.0,9.639999999999999,1.2,1.4,-1,-1,-1
28,13,Eddie Nketiah,1,1350,1370,4,17,1,4,NULL,1,8,6.0,10.3,0.0,0.0,68,205,232.79999999999995,135.4,392.0,5.040000000000001,1.2,1.4,-1,-1,-1
28,14,Martin Ødegaard,1,1350,1370,3,17,1,4,NULL,14,60,67.6,132.0,68.0,1.33,126,494,626.1999999999999,1030.1000000000001,517.0,12.120000000000003,1.2,1.4,-1,-1,-1
28,15,Thomas Partey,1,1350,1370,3,17,1,4,NULL,2,10,1.8,1.9,2.0,0.04,8,65,57.6,61.9,17.0,0.32,1.2,1.4,-1,-1,-1
28,16,Nicolas Pépé,1,1350,1370,3,17,1,4,NULL,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2,1.4,-1,-1,-1
28,17,Aaron Ramsdale,1,1350,1330,1,17,1,4,NULL,3,13,17.4,0.0,0.0,1.53,17,77,55.8,0.0,0.0,-2.3400000000000007,1.2,1.4,-1,-1,-1
28,18,Rúnar Alex Rúnarsson,1,1350,1330,1,17,1,4,NULL,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.2,1.4,-1,-1,-1
28,19,Bukayo Saka,1,1350,1370,3,17,1,4,NULL,19,65,65.2,104.6,108.0,1.8299999999999998,176,610,859.4,975.5,983.0,20.16,1.2,1.4,-1,-1,-1
28,20,William Saliba,1,1350,1330,2,17,1,4,NULL,10,52,45.0,13.0,14.0,1.1400000000000001,110,537,509.8,121.89999999999996,110.0,-16.34,1.2,1.4,-1,-1,-1
