gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xg,recent_xa,recent_xgi,recent_xgc,season_points,season_bps,season_influence,season_creativity,season_threat,season_xg,season_xa,season_xgi,season_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
28,1,Folarin Balogun,1,1350,1365,1370,1370,1330,1360,4,17,1,4,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,-1,-1,-1
28,2,Cédric Alves Soares,1,1350,1365,1370,1370,1330,1360,2,17,1,4,NULL,2,12,1.6,3.5999999999999996,0.0,0.0,0.02,0.02,0.26,3,15,2.0,4.3,0.0,0.0,0.02,0.02,0.39,1.2,1.4,-1,-1,-1
28,3,Mohamed Elneny,1,1350,1365,1370,1370,1330,1360,3,17,1,4,NULL,1,3,0.2,0.3,0.0,0.0,0.0,0.0,0.0,6,16,4.0,2.1,10.0,0.08,0.01,0.09,0.13,1.2,1.4,-1,-1,-1
28,4,Fábio Ferreira Vieira,1,1350,1365,1370,1370,1330,1360,3,17,1,4,NULL,1,3,2.8,14.1,2.0,0.0,0.23,0.23,0.2,22,65,82.2,77.7,79.0,1.2,0.5800000000000001,1.78,1.6800000000000002,1.2,1.4,-1,-1,-1
28,5,Gabriel dos Santos Magalhães,1,1350,1365,1370,1370,1330,1360,2,17,1,4,NULL,14,73,62.4,14.4,54.0,0.22999999999999998,0.1,0.33,0.65,102,463,523.0,103.30000000000001,289.0,3.1100000000000003,0.51,3.6199999999999997,16.740000000000002,1.2,1.4,-1,-1,-1
28,6,Kai Havertz,1,1350,1365,1370,1370,1330,1360,3,17,1,4,NULL,40,110,150.6,75.4,119.0,2.0700000000000003,0.27,2.34,0.5,103,288,407.8,373.9000000000001,478.0,7.380000000000001,1.7200000000000002,9.1,11.87,1.2,1.4,-1,-1,-1
28,7,Rob Holding,8,1070,1100,1080,1120,1060,1085,2,15,1,12,NULL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.67,-1,-1,-1
28,8,Gabriel Fernando de Jesus,1,1350,1365,1370,1370,1330,1360,4,17,1,4,NULL,1,2,4.6,2.9,23.0,0.05,0.12,0.17,0.11,64,212,300.0,317.5,626.0,5.35,2.13,7.48,9.579999999999998,1.2,1.4,-1,-1,-1
28,9,Jorge Luiz Frello Filho,1,1350,1365,1370,1370,1330,1360,3,17,1,4,NULL,6,29,26.8,40.8,0.0,0.0,0.31,0.31,0.44,28,125,114.4,138.9,10.0,0.09999999999999999,0.9,1.0,5.73,1.2,1.4,-1,-1,-1
28,10,Jakub Kiwior,1,1350,1365,1370,1370,1330,1360,2,17,1,4,NULL,27,92,97.0,35.5,43.0,0.11,0.13,0.24,0.65,51,200,202.2,75.80000000000001,82.0,0.74,0.5,1.24,3.2900000000000005,1.2,1.4,-1,-1,-1
