gameweek,player_id,player_name,team_id,position_id,overall_team_strength,team_position_relevant_strength,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xx,season_points,season_bps,season_influence,season_creativity,season_threat,season_xx,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
4,5,Gabriel dos Santos Magalhães,1,2,1350,1330,15,1,14,Man Utd,2,7,13.2,0.0,0.0,1.75,2,7,13.2,0.0,0.0,1.75,1.75,1.57,90,2,0
4,6,Kai Havertz,1,3,1350,1370,15,1,14,Man Utd,5,12,14.8,67.7,34.0,0.77,5,12,14.8,67.7,34.0,0.77,1.75,1.57,76,2,0
4,12,Gabriel Martinelli Silva,1,3,1350,1370,15,1,14,Man Utd,10,39,37.599999999999994,58.099999999999994,100.0,1.02,10,39,37.599999999999994,58.099999999999994,100.0,1.02,1.75,1.57,89,5,1
4,13,Eddie Nketiah,1,4,1350,1370,15,1,14,Man Utd,18,56,58.8,34.800000000000004,97.0,1.58,18,56,58.8,34.800000000000004,97.0,1.58,1.75,1.57,75,2,0
4,14,Martin Ødegaard,1,3,1350,1370,15,1,14,Man Utd,15,53,68.4,55.6,65.0,1.37,15,53,68.4,55.6,65.0,1.37,1.75,1.57,90,7,1
4,17,Aaron Ramsdale,1,1,1350,1330,15,1,14,Man Utd,9,45,40.2,0.0,0.0,-0.27000000000000046,9,45,40.2,0.0,0.0,-0.27000000000000046,1.75,1.57,90,2,0
4,19,Bukayo Saka,1,3,1350,1370,15,1,14,Man Utd,21,78,115.39999999999999,139.7,134.0,3.07,21,78,115.39999999999999,139.7,134.0,3.07,1.75,1.57,90,4,0
4,20,William Saliba,1,2,1350,1330,15,1,14,Man Utd,14,65,78.80000000000001,29.299999999999997,9.0,-0.27000000000000046,14,65,78.80000000000001,29.299999999999997,9.0,-0.27000000000000046,1.75,1.57,90,2,0
4,28,Matt Turner,16,1,1100,1080,14,2,7,Chelsea,7,56,85.8,0.0,0.0,-1.75,7,56,85.8,0.0,0.0,-1.75,8.5,1.62,90,5,1
4,29,Benjamin White,1,2,1350,1330,15,1,14,Man Utd,9,52,53.00000000000001,43.9,6.0,-0.27000000000000046,9,52,53.00000000000001,43.9,6.0,-0.27000000000000046,1.75,1.57,90,2,0
4,31,Oleksandr Zinchenko,1,2,1350,1330,15,1,14,Man Utd,2,13,7.4,24.7,4.0,1.99,2,13,7.4,24.7,4.0,1.99,1.75,1.57,75,2,0
4,33,Cameron Archer,17,4,1030,1045,11,1,9,Everton,0,-1,0.0,4.3,0.0,0.0,0,-1,0.0,4.3,0.0,0.0,2.9,2.2,74,12,1
4,36,Matty Cash,2,2,1285,1350,13,2,11,Liverpool,22,73,108.8,21.8,92.0,-1.71,22,73,108.8,21.8,92.0,-1.71,4.5,1.4,90,-1,0
4,42,Lucas Digne,2,2,1285,1350,13,2,11,Liverpool,14,61,49.8,85.4,17.0,-1.9000000000000004,14,61,49.8,85.4,17.0,-1.9000000000000004,4.5,1.4,90,1,0
4,43,Douglas Luiz Soares de Paulo,2,3,1285,1220,13,2,11,Liverpool,10,52,64.8,70.6,38.0,1.3599999999999999,10,52,64.8,70.6,38.0,1.3599999999999999,4.5,1.4,71,2,0
4,47,Boubacar Kamara,2,3,1285,1220,13,2,11,Liverpool,8,45,27.2,44.8,9.0,0.13,8,45,27.2,44.8,9.0,0.13,4.5,1.4,90,1,0
4,48,Ezri Konsa Ngoyo,2,2,1285,1350,13,2,11,Liverpool,8,57,42.8,3.2,2.0,-2.3499999999999996,8,57,42.8,3.2,2.0,-2.3499999999999996,4.5,1.4,90,1,0
4,49,Emiliano Martínez Romero,2,1,1285,1350,13,2,11,Liverpool,9,49,68.0,0.0,0.0,-1.62,9,49,68.0,0.0,0.0,-1.62,4.5,1.4,90,1,0
4,50,John McGinn,2,3,1285,1220,13,2,11,Liverpool,14,55,52.39999999999999,49.1,37.0,1.13,14,55,52.39999999999999,49.1,37.0,1.13,4.5,1.4,90,2,0
4,52,Marvelous Nakamba,12,3,1055,1020,19,1,19,West Ham,3,20,25.0,33.900000000000006,2.0,0.04,3,20,25.0,33.900000000000006,2.0,0.04,4.75,1.87,90,1,0
4,60,Ollie Watkins,2,4,1285,1220,13,2,11,Liverpool,15,37,60.2,80.6,106.0,1.32,15,37,60.2,80.6,106.0,1.32,4.5,1.4,72,2,0
4,63,Philip Billing,3,3,1100,1130,14,2,4,Brentford,6,25,46.0,52.3,57.0,0.9299999999999999,6,25,46.0,52.3,57.0,0.9299999999999999,4.75,1.73,90,2,0
4,65,Ryan Christie,3,3,1100,1130,14,2,4,Brentford,5,20,28.0,36.900000000000006,18.0,0.22000000000000003,5,20,28.0,36.900000000000006,18.0,0.22000000000000003,4.75,1.73,86,2,0
4,66,Lewis Cook,3,3,1100,1130,14,2,4,Brentford,1,5,11.6,1.4,1.0,0.04,1,5,11.6,1.4,1.0,0.04,4.75,1.73,90,2,0
4,72,Justin Kluivert,3,3,1100,1130,14,2,4,Brentford,3,4,13.8,25.3,28.0,0.29000000000000004,3,4,13.8,25.3,28.0,0.29000000000000004,4.75,1.73,70,2,0
4,77,Norberto Murara Neto,3,1,1100,1075,14,2,4,Brentford,14,63,109.2,0.0,0.0,-3.710000000000001,14,63,109.2,0.0,0.0,-3.710000000000001,4.75,1.73,90,1,0
4,83,Marcos Senesi,3,2,1100,1075,14,2,4,Brentford,2,27,41.4,11.1,0.0,-1.42,2,27,41.4,11.1,0.0,-1.42,4.75,1.73,90,4,0
4,85,Dominic Solanke,3,4,1100,1130,14,2,4,Brentford,14,36,60.4,55.900000000000006,98.0,1.3900000000000001,14,36,60.4,55.900000000000006,98.0,1.3900000000000001,4.75,1.73,90,7,1
4,89,Illia Zabarnyi,3,2,1100,1075,14,2,4,Brentford,4,46,68.0,2.8,2.0,-3.710000000000001,4,46,68.0,2.8,2.0,-3.710000000000001,4.75,1.73,90,1,0
4,101,Mark Flekken,4,1,1100,1090,14,1,3,Bournemouth,12,67,86.0,0.0,0.0,-0.020000000000000018,12,67,86.0,0.0,0.0,-0.020000000000000018,1.73,1.73,90,2,0
4,103,Rico Henry,4,2,1100,1090,14,1,3,Bournemouth,11,52,65.6,54.39999999999999,14.0,-0.020000000000000018,11,52,65.6,54.39999999999999,14.0,-0.020000000000000018,1.73,1.73,90,1,0
4,104,Aaron Hickey,4,2,1100,1090,14,1,3,Bournemouth,7,35,23.4,16.1,6.0,0.3200000000000003,7,35,23.4,16.1,6.0,0.3200000000000003,1.73,1.73,81,1,0
4,105,Vitaly Janelt,4,3,1100,1110,14,1,3,Bournemouth,7,21,27.599999999999998,28.2,26.0,0.24,7,21,27.599999999999998,28.2,26.0,0.24,1.73,1.73,70,2,0
4,106,Mathias Jensen,4,3,1100,1110,14,1,3,Bournemouth,10,48,39.0,92.0,23.0,0.8500000000000001,10,48,39.0,92.0,23.0,0.8500000000000001,1.73,1.73,80,9,1
4,108,Bryan Mbeumo,4,3,1100,1110,14,1,3,Bournemouth,25,67,120.19999999999999,63.1,126.0,3.6999999999999997,25,67,120.19999999999999,63.1,126.0,3.6999999999999997,1.73,1.73,90,8,1
4,109,Ben Mee,4,2,1100,1090,14,1,3,Bournemouth,0,0,0.0,0.0,0.0,2.5,0,0,0.0,0.0,0.0,2.5,1.73,1.73,80,1,0
4,110,Christian Nørgaard,4,3,1100,1110,14,1,3,Bournemouth,10,41,56.800000000000004,37.5,18.0,0.18,10,41,56.800000000000004,37.5,18.0,0.18,1.73,1.73,90,2,0
4,112,Ethan Pinnock,4,2,1100,1090,14,1,3,Bournemouth,10,59,71.2,22.5,20.0,-0.020000000000000018,10,59,71.2,22.5,20.0,-0.020000000000000018,1.73,1.73,90,1,0
4,115,Kevin Schade,4,3,1100,1110,14,1,3,Bournemouth,13,27,37.4,13.100000000000001,35.0,0.54,13,27,37.4,13.100000000000001,35.0,0.54,1.73,1.73,70,5,1
4,119,Yoane Wissa,4,4,1100,1110,14,1,3,Bournemouth,22,68,84.19999999999999,24.8,128.0,2.01,22,68,84.19999999999999,24.8,128.0,2.01,1.73,1.73,90,2,0
4,126,Moisés Caicedo Corozo,7,3,1125,1080,14,1,16,Nott'm Forest,4,16,17.6,7.9,3.0,0.09,4,16,17.6,7.9,3.0,0.09,1.4,1.62,76,2,0
4,129,Lewis Dunk,5,2,1100,1135,16,1,15,Newcastle,5,41,44.8,21.799999999999997,51.0,-4.34,5,41,44.8,21.799999999999997,51.0,-4.34,2.5,1.5,90,2,0
4,131,Pervis Estupiñán,5,2,1100,1135,16,1,15,Newcastle,19,83,118.2,138.5,84.0,-4.34,19,83,118.2,138.5,84.0,-4.34,2.5,1.5,90,2,0
4,132,Evan Ferguson,5,4,1100,1070,16,1,15,Newcastle,8,22,44.400000000000006,15.6,111.0,1.73,8,22,44.400000000000006,15.6,111.0,1.73,2.5,1.5,80,17,1
4,133,Billy Gilmour,5,3,1100,1070,16,1,15,Newcastle,4,31,32.0,43.3,13.0,0.57,4,31,32.0,43.3,13.0,0.57,2.5,1.5,76,11,1
4,134,Pascal Groß,5,3,1100,1070,16,1,15,Newcastle,13,69,108.2,185.9,72.0,1.5899999999999999,13,69,108.2,185.9,72.0,1.5899999999999999,2.5,1.5,88,3,0
4,135,João Pedro Junqueira de Jesus,5,4,1100,1070,16,1,15,Newcastle,8,31,56.8,36.0,96.0,1.66,8,31,56.8,36.0,96.0,1.66,2.5,1.5,76,2,0
4,140,Solly March,5,3,1100,1070,16,1,15,Newcastle,26,83,140.6,71.3,112.0,1.83,26,83,140.6,71.3,112.0,1.83,2.5,1.5,80,3,0
4,143,Kaoru Mitoma,5,3,1100,1070,16,1,15,Newcastle,18,76,96.39999999999999,143.3,89.0,2.29,18,76,96.39999999999999,143.3,89.0,2.29,2.5,1.5,90,5,1
